,date,state,checkins,unique_ind,unique_loc
219,2020-12-14,Selangor,3899066,1901399,128273
220,2020-12-14,Terengganu,226213,125715,14823
221,2020-12-14,W.P. KualaLumpur,3358416,1523859,89492
222,2020-12-14,W.P. Labuan,51555,23055,1806
223,2020-12-14,W.P. Putrajaya,188105,109434,2535
224,2020-12-15,Johor,1952835,867848,83844
225,2020-12-15,Kedah,663728,351415,33468
226,2020-12-15,Kelantan,221550,124986,17190
227,2020-12-15,Melaka,525264,241653,21592
228,2020-12-15,Negeri Sembilan,553830,277873,23009
229,2020-12-15,Pahang,660284,298840,28322
230,2020-12-15,Perak,1097085,507685,50097
231,2020-12-15,Perlis,162370,104042,8294
232,2020-12-15,Pulau Pinang,1227979,558427,45393
233,2020-12-15,Sabah,790714,328317,34235
234,2020-12-15,Sarawak,1274110,491910,37798
235,2020-12-15,Selangor,3966771,1937915,131246
236,2020-12-15,Terengganu,224969,124591,14792
237,2020-12-15,W.P. KualaLumpur,3418092,1547951,91485
238,2020-12-15,W.P. Labuan,50527,22937,1846
239,2020-12-15,W.P. Putrajaya,195419,113150,2574
240,2020-12-16,Johor,1949597,863480,83648
241,2020-12-16,Kedah,684674,359585,34197
242,2020-12-16,Kelantan,206750,118673,16475
243,2020-12-16,Melaka,549268,248717,21919
244,2020-12-16,Negeri Sembilan,574152,281770,23364
245,2020-12-16,Pahang,641531,293089,28378
246,2020-12-16,Perak,1117761,513470,50159
247,2020-12-16,Perlis,164445,104431,8290
248,2020-12-16,Pulau Pinang,1265446,568621,45511
249,2020-12-16,Sabah,804985,331365,34362
250,2020-12-16,Sarawak,1343636,502841,38129
251,2020-12-16,Selangor,4083283,1966662,131846
252,2020-12-16,Terengganu,213471,119642,14259
253,2020-12-16,W.P. KualaLumpur,3571363,1580081,92307
254,2020-12-16,W.P. Labuan,53889,23865,1852
255,2020-12-16,W.P. Putrajaya,199645,115156,2598
256,2020-12-17,Johor,2037013,894383,84581
257,2020-12-17,Kedah,682621,360166,33301
258,2020-12-17,Kelantan,208422,119924,15752
259,2020-12-17,Melaka,561905,254410,22273
260,2020-12-17,Negeri Sembilan,592028,290959,23514
261,2020-12-17,Pahang,668080,303997,28412
262,2020-12-17,Perak,1156591,528455,50578
263,2020-12-17,Perlis,164617,105757,8064
264,2020-12-17,Pulau Pinang,1306459,582626,45941
265,2020-12-17,Sabah,841546,340161,34573
266,2020-12-17,Sarawak,1387642,513951,38037
267,2020-12-17,Selangor,4129102,2000847,131949
268,2020-12-17,Terengganu,225675,124992,14103
269,2020-12-17,W.P. KualaLumpur,3630238,1614751,92365
270,2020-12-17,W.P. Labuan,57017,24485,1850
271,2020-12-17,W.P. Putrajaya,215967,120958,2583
272,2020-12-18,Johor,2001878,884470,79071
273,2020-12-18,Kedah,645770,343782,24749
274,2020-12-18,Kelantan,183134,108967,8842
275,2020-12-18,Melaka,609881,272497,22096
276,2020-12-18,Negeri Sembilan,629381,311554,23432
277,2020-12-18,Pahang,683527,316618,27506
278,2020-12-18,Perak,1223388,561184,50467
279,2020-12-18,Perlis,180426,112875,7902
280,2020-12-18,Pulau Pinang,1339246,596160,45086
281,2020-12-18,Sabah,894154,353496,34666
282,2020-12-18,Sarawak,1440323,524662,38469
283,2020-12-18,Selangor,4398740,2081524,131894
284,2020-12-18,Terengganu,170056,102610,7389
285,2020-12-18,W.P. KualaLumpur,3878145,1686438,91935
286,2020-12-18,W.P. Labuan,57188,24575,1856
287,2020-12-18,W.P. Putrajaya,240849,132395,2578
288,2020-12-19,Johor,2246058,933757,75831
289,2020-12-19,Kedah,790664,405073,30729
290,2020-12-19,Kelantan,241200,134679,14276
291,2020-12-19,Melaka,717147,304386,20108
292,2020-12-19,Negeri Sembilan,690707,332783,21153
293,2020-12-19,Pahang,784036,343830,25313
294,2020-12-19,Perak,1358978,600260,46677
295,2020-12-19,Perlis,193054,115107,7112
296,2020-12-19,Pulau Pinang,1527539,620940,40142
297,2020-12-19,Sabah,912468,344422,30584
298,2020-12-19,Sarawak,1606118,537166,33672
299,2020-12-19,Selangor,4721538,2110548,113074
300,2020-12-19,Terengganu,232140,128195,11845
301,2020-12-19,W.P. KualaLumpur,4016768,1667897,75957
302,2020-12-19,W.P. Labuan,53974,23059,1529
303,2020-12-19,W.P. Putrajaya,235047,126557,1796
304,2020-12-20,Johor,2283467,934339,63215
305,2020-12-20,Kedah,801799,414461,30959
306,2020-12-20,Kelantan,247556,139939,16183
307,2020-12-20,Melaka,646813,283137,14568
308,2020-12-20,Negeri Sembilan,631011,313856,15512
309,2020-12-20,Pahang,673595,314186,17774
310,2020-12-20,Perak,1178943,550743,31845
311,2020-12-20,Perlis,169591,101378,4767
312,2020-12-20,Pulau Pinang,1327383,559831,27387
313,2020-12-20,Sabah,851873,325640,22769
314,2020-12-20,Sarawak,1553541,525739,25034
315,2020-12-20,Selangor,4335658,1969942,80135
316,2020-12-20,Terengganu,246258,135467,13873
317,2020-12-20,W.P. KualaLumpur,3662119,1565119,55923
318,2020-12-20,W.P. Labuan,47400,21094,1118
319,2020-12-20,W.P. Putrajaya,242800,132806,1569
320,2020-12-21,Johor,1958081,878084,81129
321,2020-12-21,Kedah,727589,380007,33555
322,2020-12-21,Kelantan,246440,137239,16938
323,2020-12-21,Melaka,571176,258566,21157
324,2020-12-21,Negeri Sembilan,578884,290359,22378
325,2020-12-21,Pahang,714546,319572,28058
326,2020-12-21,Perak,1174971,544180,48322
327,2020-12-21,Perlis,175727,109479,8033
328,2020-12-21,Pulau Pinang,1332498,586462,44630
329,2020-12-21,Sabah,859912,344837,33707
330,2020-12-21,Sarawak,1317421,494555,35937
331,2020-12-21,Selangor,4074363,1965292,127413
332,2020-12-21,Terengganu,241925,133563,14512
333,2020-12-21,W.P. KualaLumpur,3553927,1589498,89129
334,2020-12-21,W.P. Labuan,54211,23380,1772
335,2020-12-21,W.P. Putrajaya,204949,116846,2522
336,2020-12-22,Johor,2033367,890744,84186
337,2020-12-22,Kedah,730337,378159,34034
338,2020-12-22,Kelantan,245847,137249,17141
339,2020-12-22,Melaka,575223,256627,21821
340,2020-12-22,Negeri Sembilan,585749,290109,23120
341,2020-12-22,Pahang,735864,321492,29040
342,2020-12-22,Perak,1204142,545051,50373
343,2020-12-22,Perlis,176461,110521,8389
344,2020-12-22,Pulau Pinang,1365741,594294,45723
345,2020-12-22,Sabah,888461,346925,34556
346,2020-12-22,Sarawak,1394463,507630,37437
347,2020-12-22,Selangor,4264176,2024584,132732
348,2020-12-22,Terengganu,239114,131018,14477
349,2020-12-22,W.P. KualaLumpur,3752414,1639527,92735
350,2020-12-22,W.P. Labuan,54253,23258,1824
351,2020-12-22,W.P. Putrajaya,214018,120802,2566
352,2020-12-23,Johor,2115504,904958,84833
353,2020-12-23,Kedah,742307,382340,34518
354,2020-12-23,Kelantan,244615,137274,17097
355,2020-12-23,Melaka,605707,264214,22131
356,2020-12-23,Negeri Sembilan,607223,295354,23554
357,2020-12-23,Pahang,751139,326255,29382
358,2020-12-23,Perak,1245388,556330,50737
359,2020-12-23,Perlis,175309,109485,8269
360,2020-12-23,Pulau Pinang,1424964,606193,46205
361,2020-12-23,Sabah,947336,361721,34506
362,2020-12-23,Sarawak,1512493,528277,37773
363,2020-12-23,Selangor,4477882,2071894,133837
364,2020-12-23,Terengganu,247022,135080,14754
365,2020-12-23,W.P. KualaLumpur,3944394,1681191,93445
366,2020-12-23,W.P. Labuan,55347,23692,1796
367,2020-12-23,W.P. Putrajaya,217072,122474,2559
368,2020-12-24,Johor,2188913,932374,84232
369,2020-12-24,Kedah,782937,399773,34531
370,2020-12-24,Kelantan,268068,149846,17376
371,2020-12-24,Melaka,632284,276206,22160
372,2020-12-24,Negeri Sembilan,642875,312861,23364
373,2020-12-24,Pahang,810433,349754,29395
374,2020-12-24,Perak,1303811,587282,50864
375,2020-12-24,Perlis,186364,115850,8140
376,2020-12-24,Pulau Pinang,1489381,625411,45818
377,2020-12-24,Sabah,900728,344285,26311
378,2020-12-24,Sarawak,1550488,541447,36560
379,2020-12-24,Selangor,4587719,2116241,131281
380,2020-12-24,Terengganu,263287,143774,14982
381,2020-12-24,W.P. KualaLumpur,4067706,1729664,91337
382,2020-12-24,W.P. Labuan,60216,24776,1789
383,2020-12-24,W.P. Putrajaya,227595,127247,2480
384,2020-12-25,Johor,2172105,909175,61808
385,2020-12-25,Kedah,734635,379982,22806
386,2020-12-25,Kelantan,244551,142636,9958
387,2020-12-25,Melaka,674009,291881,16828
388,2020-12-25,Negeri Sembilan,638823,320646,17283
389,2020-12-25,Pahang,854476,367368,22813
390,2020-12-25,Perak,1315811,605197,39642
391,2020-12-25,Perlis,188585,111592,5852
392,2020-12-25,Pulau Pinang,1437850,589227,30713
393,2020-12-25,Sabah,719242,297780,20207
394,2020-12-25,Sarawak,1262805,450346,22020
395,2020-12-25,Selangor,4182153,1926985,84666
396,2020-12-25,Terengganu,218476,129961,8021
397,2020-12-25,W.P. KualaLumpur,3718058,1561878,58473
398,2020-12-25,W.P. Labuan,41024,19144,1045
399,2020-12-25,W.P. Putrajaya,242500,128582,1570
400,2020-12-26,Johor,2048667,886213,71293
401,2020-12-26,Kedah,745868,392434,28877
402,2020-12-26,Kelantan,283524,157432,14989
403,2020-12-26,Melaka,684607,302354,18994
404,2020-12-26,Negeri Sembilan,626118,314766,19941
405,2020-12-26,Pahang,842586,363511,24658
406,2020-12-26,Perak,1288976,594420,44371
407,2020-12-26,Perlis,188439,112930,6623
408,2020-12-26,Pulau Pinang,1379681,582816,37547
409,2020-12-26,Sabah,802925,315641,27344
410,2020-12-26,Sarawak,1343704,475077,30256
411,2020-12-26,Selangor,4001700,1861380,104407
412,2020-12-26,Terengganu,278655,152665,12309
413,2020-12-26,W.P. KualaLumpur,3470918,1486338,70729
414,2020-12-26,W.P. Labuan,50506,21896,1425
415,2020-12-26,W.P. Putrajaya,196133,105287,1642
416,2020-12-27,Johor,2059782,886854,59052
417,2020-12-27,Kedah,781507,405901,28637
418,2020-12-27,Kelantan,288981,161927,17567
419,2020-12-27,Melaka,666956,295841,14485
420,2020-12-27,Negeri Sembilan,624436,318022,15328
421,2020-12-27,Pahang,782778,351898,18514
422,2020-12-27,Perak,1260380,596121,32394
423,2020-12-27,Perlis,183348,109102,4816
424,2020-12-27,Pulau Pinang,1345299,573818,27296
425,2020-12-27,Sabah,753143,306496,22085
426,2020-12-27,Sarawak,1304736,475958,24144
427,2020-12-27,Selangor,4033670,1879949,78492
428,2020-12-27,Terengganu,278873,152730,14543
429,2020-12-27,W.P. KualaLumpur,3426036,1498762,54899
430,2020-12-27,W.P. Labuan,43728,20067,1085
431,2020-12-27,W.P. Putrajaya,215020,119555,1506
432,2020-12-28,Johor,2086462,908927,82455
433,2020-12-28,Kedah,775895,396501,33744
434,2020-12-28,Kelantan,272426,151908,17839
435,2020-12-28,Melaka,619778,271779,21327
436,2020-12-28,Negeri Sembilan,609724,300997,22586
437,2020-12-28,Pahang,800555,344254,28638
438,2020-12-28,Perak,1243269,571206,48933
439,2020-12-28,Perlis,189018,115852,8064
440,2020-12-28,Pulau Pinang,1409820,609858,44847
441,2020-12-28,Sabah,863992,347244,33921
442,2020-12-28,Sarawak,1299881,489133,36460
443,2020-12-28,Selangor,4125516,1975330,127813
444,2020-12-28,Terengganu,260428,142169,14833
445,2020-12-28,W.P. KualaLumpur,3555071,1596058,89156
446,2020-12-28,W.P. Labuan,54515,23224,1769
447,2020-12-28,W.P. Putrajaya,200956,114454,2444
448,2020-12-29,Johor,2006226,888566,83547
449,2020-12-29,Kedah,751603,385696,33907
450,2020-12-29,Kelantan,262938,146762,17878
451,2020-12-29,Melaka,574165,256946,21555
452,2020-12-29,Negeri Sembilan,587782,291731,22995
453,2020-12-29,Pahang,774137,334714,29175
454,2020-12-29,Perak,1218752,554241,50061
455,2020-12-29,Perlis,183797,113759,8180
456,2020-12-29,Pulau Pinang,1389332,603701,45596
457,2020-12-29,Sabah,841604,340178,34022
458,2020-12-29,Sarawak,1294312,488641,36895
459,2020-12-29,Selangor,4096096,1971337,130931
460,2020-12-29,Terengganu,252929,138334,14694
461,2020-12-29,W.P. KualaLumpur,3514579,1588136,91076
462,2020-12-29,W.P. Labuan,52933,22982,1802
463,2020-12-29,W.P. Putrajaya,200705,114156,2482
464,2020-12-30,Johor,2114217,911092,84864
465,2020-12-30,Kedah,764699,391634,34385
466,2020-12-30,Kelantan,265087,147587,17659
467,2020-12-30,Melaka,617758,269323,21848
468,2020-12-30,Negeri Sembilan,627459,303513,23321
469,2020-12-30,Pahang,800935,339363,29252
470,2020-12-30,Perak,1263253,566790,50703
471,2020-12-30,Perlis,183901,112679,8225
472,2020-12-30,Pulau Pinang,1418775,610230,45799
473,2020-12-30,Sabah,888710,349879,33868
474,2020-12-30,Sarawak,1398589,508864,36991
475,2020-12-30,Selangor,4405279,2057609,132585
476,2020-12-30,Terengganu,261099,141435,14882
477,2020-12-30,W.P. KualaLumpur,3825609,1664405,92278
478,2020-12-30,W.P. Labuan,56545,24181,1802
479,2020-12-30,W.P. Putrajaya,210657,119384,2495
480,2020-12-31,Johor,2158220,934525,84364
481,2020-12-31,Kedah,801191,407326,34368
482,2020-12-31,Kelantan,268689,151555,17441
483,2020-12-31,Melaka,660916,286503,21995
484,2020-12-31,Negeri Sembilan,662177,322706,23231
485,2020-12-31,Pahang,811118,351313,28635
486,2020-12-31,Perak,1318851,593158,50326
487,2020-12-31,Perlis,194778,118652,8176
488,2020-12-31,Pulau Pinang,1521488,639506,45381
489,2020-12-31,Sabah,925277,366666,33269
490,2020-12-31,Sarawak,1473512,538021,36062
491,2020-12-31,Selangor,4621416,2145248,130291
492,2020-12-31,Terengganu,249580,139574,14271
493,2020-12-31,W.P. KualaLumpur,4061943,1761158,90275
494,2020-12-31,W.P. Labuan,58352,24802,1773
495,2020-12-31,W.P. Putrajaya,233740,130805,2447
496,2021-01-01,Johor,1872088,855547,70958
497,2021-01-01,Kedah,775695,397125,23386
498,2021-01-01,Kelantan,244655,143926,10184
499,2021-01-01,Melaka,676998,295015,15212
500,2021-01-01,Negeri Sembilan,649803,328409,15404
501,2021-01-01,Pahang,854316,367503,19257
502,2021-01-01,Perak,1306771,602442,34236
503,2021-01-01,Perlis,204392,116803,5996
504,2021-01-01,Pulau Pinang,1414953,588209,27696
505,2021-01-01,Sabah,729808,296917,19543
506,2021-01-01,Sarawak,1337205,467847,21430
507,2021-01-01,Selangor,4106674,1916448,75916
508,2021-01-01,Terengganu,223417,132496,8009
509,2021-01-01,W.P. KualaLumpur,3591737,1570301,53994
510,2021-01-01,W.P. Labuan,41771,19842,1041
511,2021-01-01,W.P. Putrajaya,239678,129310,1519
512,2021-01-02,Johor,1721208,796963,66502
513,2021-01-02,Kedah,819480,420103,30315
514,2021-01-02,Kelantan,281115,157583,15234
515,2021-01-02,Melaka,680121,300853,18705
516,2021-01-02,Negeri Sembilan,676052,336620,19950
517,2021-01-02,Pahang,839337,361359,23566
518,2021-01-02,Perak,1399036,625725,44850
519,2021-01-02,Perlis,198752,116111,6777
520,2021-01-02,Pulau Pinang,1441016,603631,38069
521,2021-01-02,Sabah,864575,338719,29331
522,2021-01-02,Sarawak,1385714,495868,31448
523,2021-01-02,Selangor,4263943,1954651,105356
524,2021-01-02,Terengganu,263134,145421,12016
525,2021-01-02,W.P. KualaLumpur,3598267,1553941,71479
526,2021-01-02,W.P. Labuan,52843,22798,1417
527,2021-01-02,W.P. Putrajaya,205364,113646,1692
528,2021-01-03,Johor,2084563,890141,59783
529,2021-01-03,Kedah,802557,412245,30903
530,2021-01-03,Kelantan,277698,156153,17395
531,2021-01-03,Melaka,610196,273667,14287
532,2021-01-03,Negeri Sembilan,590974,305216,14765
533,2021-01-03,Pahang,504625,252194,14408
534,2021-01-03,Perak,947903,487800,28912
535,2021-01-03,Perlis,161797,96727,4770
536,2021-01-03,Pulau Pinang,1221380,542178,27188
537,2021-01-03,Sabah,773420,312928,22617
538,2021-01-03,Sarawak,1344771,492137,24328
539,2021-01-03,Selangor,3776086,1801189,75949
540,2021-01-03,Terengganu,251192,140704,14108
541,2021-01-03,W.P. KualaLumpur,3094582,1423400,53124
542,2021-01-03,W.P. Labuan,43822,20102,1083
543,2021-01-03,W.P. Putrajaya,206696,114463,1492
544,2021-01-04,Johor,1990345,883184,81749
545,2021-01-04,Kedah,730980,381402,33788
546,2021-01-04,Kelantan,233789,135068,16774
547,2021-01-04,Melaka,573681,257823,21698
548,2021-01-04,Negeri Sembilan,607918,299945,22815
549,2021-01-04,Pahang,681149,303404,24760
550,2021-01-04,Perak,1234553,559223,49319
551,2021-01-04,Perlis,178549,110465,8211
552,2021-01-04,Pulau Pinang,1293757,586674,45307
553,2021-01-04,Sabah,841303,345862,34713
